type	creator	version	update	ID	sex	birthYear	birthPlace	birthRegion	language	firstLang	homeLang	workLang	resPlace	resRegion	eduPlace	eduRegion	eduSize	education	eduLevel	occupation	occLevel	notes
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00027	sex1	1956	NL-65-	regN2c	SD	SD	SD	SD	NL-65-	regN2c	NL-65-	regN2c	size1	vwo	edu1	unspecified	occX	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00028	sex2	1957	NL-743	regN3b	SD	SD	SD	SD	NL-65-	regN2c	NL-74-	regN3b	size2	hbo	edu1	unspecified	occX	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00029	sex2	1973	NL-566	regN4a	SD	SD	SD	SD	NL-65-	regN2c	NL-572	regN4a	size4	vwo	edu1	student	occ6	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00032	sex1	1948	NL-526	regN4a	SD	SD	SD	SD	NL-584	regN4a	NL-527	regN4a	size4	universiteit	edu1	professor	occ1	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00034	sex1	1936	NL-554	regN4a	SD	SD	SD	SD	NL-65-	regN2c	NL-527	regN4a	size4	universiteit	edu1	professor	occ1	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00042	sex1	1943	NL-665	regN2c	SD	SD	SD	SD	NL-65-	regN2c	NL-65-	regN2c	size1	universiteit	edu1	teacher secondary school	occ2	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00043	sex2	1975	NL-575	regN4a	SD	SD	SD	SD	NL-65-	regN2c	NL-575	regN4a	size4	vwo	edu1	student	occ6	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00045	sex1	1937	xxx	regNx	SD	SD	SD	SD	NL-65-	regN2c	xxx	regNx	sizeX	universiteit	edu1	teacher university	occ2	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00046	sex1	1947	NL-68-	regN2c	SD	SD	SD	SD	NL-663	regN2c	NL-68-	regN2c	size1	universiteit	edu1	professor	occ1	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00048	sex2	1973	NL-370	regN2b	SD	SD	SD	SD	NL-65-	regN2c	NL-700	regN3a	size3	vwo	edu1	student	occ6	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00049	sex1	1959	NL-48-	regN4a	SD	SD	SD	SD	NL-65-	regN2c	NL-48-	regN4a	size1	universiteit	edu1	researcher	occ2	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00050	sex1	1948	NL-65-	regN2c	SD	SD	SD	SD	NL-394	regN2b	NL-65-	regN2c	size1	universiteit	edu1	professor	occ1	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00051	sex1	1946	NL-65-	regN2c	SD	SD	SD	SD	NL-364	regN1c	NL-65-	regN2c	size1	mbo	edu2	consultant	occ3	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00052	sex1	1966	NL-65-	regN2c	SD	SD	SD	SD	NL-65-	regN2c	NL-65-	regN2c	size1	universiteit	edu1	physicist	occ2	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00053	sex1	1946	NL-934	regN3c	SD	SD	SD	SD	NL-686	regN2c	NL-700	regN3a	size3	universiteit	edu1	chairman	occ1	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00054	sex1	1940	NL-35-	regN1c	SD	SD	SD	SD	NL-141	regN1b	NL-35-	regN1c	size1	vwo	edu1	head of automation	occ2	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00055	sex1	1941	ID	regZ	SD	SD	SD	SD	NL-35-	regN1c	NL-224	regN1a	size3	universiteit	edu1	physicist	occ2	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00056	sex1	1967	NL-469	regN2a	SD	SD	SD	SD	NL-46-	regN4a	NL-46-	regN4a	size3	universiteit	edu1	consultant	occ2	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00057	sex1	1962	NL-225	regN1a	SD	SD	SD	SD	NL-65-	regN2c	NL-25-	regN1a	size1	universiteit	edu1	professor	occ1	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00058	sex1	1942	NL-465	regN4a	SD	SD	SD	SD	NL-658	regN2c	NL-46-	regN4a	size3	universiteit	edu1	professor	occ1	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00059	sex1	1973	NL-50-	regN4a	SD	SD	SD	SD	NL-65-	regN2c	NL-512	regN4a	size6	universiteit	edu1	doctoral student	occ2	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00060	sex1	1961	NL-38-	regN2b	SD	SD	SD	SD	NL-240	regN1a	NL-240	regN1a	size2	hbo	edu1	teacher	occ2	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00061	sex2	1946	NL-20-	regN1b	SD	SD	SD	SD	NL-277	regN1a	NL-20-	regN1b	size1	universiteit	edu1	teacher	occ2	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00062	sex1	1963	NL-794	regN3c	SD	SD	SD	SD	NL-240	regN1a	NL-280	regN1a	size2	universiteit	edu1	teacher	occ2	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00063	sex2	19nn	xxx	regX	SD	unknown	unknown	SD	xxx	regNx	xxx	regX	sizeX	unknown	eduX	unspecified	occX	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00064	sex1	19nn	xxx	regX	SD	unknown	unknown	SD	xxx	regNx	xxx	regX	sizeX	unknown	eduX	unspecified	occX	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00065	sex1	19nn	xxx	regX	SD	unknown	unknown	SD	xxx	regNx	xxx	regX	sizeX	unknown	eduX	unspecified	occX	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00066	sex1	19nn	xxx	regX	SD	unknown	unknown	SD	xxx	regNx	xxx	regX	sizeX	unknown	eduX	unspecified	occX	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00067	sex1	19nn	xxx	regX	SD	unknown	unknown	SD	xxx	regNx	xxx	regX	sizeX	unknown	eduX	unspecified	occX	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00068	sex2	19nn	xxx	regX	SD	unknown	unknown	SD	xxx	regNx	xxx	regX	sizeX	unknown	eduX	unspecified	occX	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00075	sex1	19nn	xxx	regX	SD	unknown	unknown	SD	xxx	regNx	xxx	regX	sizeX	unknown	eduX	unspecified	occX	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00076	sex1	19nn	xxx	regX	SD	unknown	unknown	SD	xxx	regNx	xxx	regX	sizeX	unknown	eduX	unspecified	occX	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00077	sex1	19nn	xxx	regX	SD	unknown	unknown	SD	xxx	regNx	xxx	regX	sizeX	unknown	eduX	unspecified	occX	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00078	sex1	19nn	xxx	regX	SD	unknown	unknown	SD	xxx	regNx	xxx	regX	sizeX	unknown	eduX	unspecified	occX	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00079	sex1	19nn	xxx	regX	SD	unknown	unknown	SD	xxx	regNx	xxx	regX	sizeX	unknown	eduX	unspecified	occX	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00080	sex1	19nn	xxx	regX	SD	unknown	unknown	SD	xxx	regNx	xxx	regX	sizeX	unknown	eduX	unspecified	occX	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00081	sex1	19nn	xxx	regX	SD	unknown	unknown	SD	xxx	regNx	xxx	regX	sizeX	unknown	eduX	unspecified	occX	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00082	sex1	19nn	xxx	regX	SD	unknown	unknown	SD	xxx	regNx	xxx	regX	sizeX	unknown	eduX	unspecified	occX	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00083	sex1	19nn	xxx	regX	SD	unknown	unknown	SD	xxx	regNx	xxx	regX	sizeX	unknown	eduX	unspecified	occX	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00084	sex1	19nn	xxx	regX	SD	unknown	unknown	SD	xxx	regNx	xxx	regX	sizeX	unknown	eduX	unspecified	occX	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00085	sex1	19nn	xxx	regX	SD	unknown	unknown	SD	xxx	regNx	xxx	regX	sizeX	unknown	eduX	unspecified	occX	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00086	sex1	19nn	xxx	regX	SD	unknown	unknown	SD	xxx	regNx	xxx	regX	sizeX	unknown	eduX	unspecified	occX	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00087	sex1	19nn	xxx	regX	SD	unknown	unknown	SD	xxx	regNx	xxx	regX	sizeX	unknown	eduX	unspecified	occX	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00088	sex1	19nn	xxx	regX	SD	unknown	unknown	SD	xxx	regNx	xxx	regX	sizeX	unknown	eduX	unspecified	occX	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00089	sex1	19nn	xxx	regX	SD	unknown	unknown	SD	xxx	regNx	xxx	regX	sizeX	unknown	eduX	unspecified	occX	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00112	sex1	1966	NL-280	regN1a	SD	SD	SD	SD	NL-280	regN1a	NL-280	regN1a	size2	universiteit	edu1	teacher secondary school	occ2	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00113	sex2	1953	NL-410	regN2c	SD	SD	SD	SD	NL-411	regN2c	NL-410	regN2c	size3	hbo	edu1	teacher secondary school	occ2	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00114	sex1	1959	NL-610	regN4b	SD	SD	SD	SD	NL-610	regN4b	NL-610	regN4b	size6	universiteit	edu1	teacher secondary school	occ2	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00115	sex2	1945	NL-65-	regN2c	SD	SD	SD	SD	NL-613	regN4b	NL-636	regN4b	size6	universiteit	edu1	teacher secondary school	occ2	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00116	sex2	1970	NL-616	regN4b	SD	SD	SD	SD	NL-619	regN4b	NL-616	regN4b	size3	hbo	edu1	teacher secondary school	occ2	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00117	sex2	1969	NL-692	regN3a	SD	SD	SD	SD	NL-65-	regN2c	NL-692	regN3a	size4	hbo	edu1	teacher secondary school	occ2	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00118	sex1	1950	NL-532	regN2c	SD	SD	SD	SD	NL-400	regN2c	NL-532	regN2c	size6	hbo	edu1	teacher secondary school	occ2	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00119	sex2	1971	NL-997	regN3d	SD	SD	SD	SD	NL-97-	regN3d	NL-997	regN3d	size6	hbo	edu1	teacher secondary school	occ2	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00120	sex2	1952	NL-97-	regN3d	SD	SD	SD	SD	NL-940	regN3c	NL-97-	regN3d	size1	hbo	edu1	teacher secondary school	occ2	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00121	sex1	1946	NL-979	regN3d	SD	SD	SD	SD	NL-940	regN3c	NL-790	regN3c	size3	hbo	edu1	teacher secondary school	occ2	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00122	sex1	1961	NL-967	regN3d	SD	SD	SD	SD	NL-940	regN3c	NL-78-	regN3c	size2	hbo	edu1	teacher secondary school	occ2	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00123	sex2	1963	NL-940	regN3c	SD	SD	SD	SD	NL-940	regN3c	NL-940	regN3c	size2	hbo	edu1	teacher secondary school	occ2	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00124	sex2	1971	NL-986	regN3d	SD	SD	SD	SD	NL-995	regN3d	NL-986	regN3d	size6	universiteit	edu1	teacher secondary school	occ2	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00125	sex2	1967	NL-373	regN2b	SD	SD	SD	SD	NL-976	regN3c	NL-976	regN3c	size5	hbo	edu1	teacher secondary school	occ2	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00126	sex1	1947	NL-697	regN2d	SD	SD	SD	SD	NL-390	regN2b	NL-698	regN3a	size4	hbo	edu1	teacher secondary school	occ2	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00127	sex1	1952	NL-671	regN2d	SD	SD	SD	SD	NL-671	regN2d	NL-671	regN2d	size2	universiteit	edu1	teacher secondary school	occ2	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00128	sex2	1948	NL-30-	regN1a	SD	SD	SD	SD	NL-672	regN2c	NL-670	regN2c	size3	universiteit	edu1	teacher secondary school	occ2	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00129	sex2	1953	NL-624	regN4b	SD	SD	SD	SD	NL-624	regN4b	NL-624	regN4b	size5	hbo	edu1	teacher secondary school	occ2	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00130	sex1	1940	NL-790	regN3c	SD	SD	SD	SD	NL-940	regN3c	NL-790	regN3c	size3	hbo	edu1	teacher secondary school	occ2	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00131	sex1	1945	NL-965	regN3d	SD	SD	SD	SD	NL-965	regN3d	NL-965	regN3d	size6	hbo	edu1	teacher secondary school	occ2	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00132	sex1	1953	NL-865	regN3e	SD	SD	SD	SD	NL-965	regN3d	NL-965	regN3d	size6	hbo	edu1	teacher secondary school	occ2	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00133	sex1	1962	NL-940	regN3c	SD	SD	SD	SD	NL-940	regN3c	NL-940	regN3c	size2	hbo	edu1	teacher secondary school	occ2	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00134	sex2	1966	NL-97-	regN3d	SD	SD	SD	SD	NL-97-	regN3d	NL-993	regN3d	size4	universiteit	edu1	teacher secondary school	occ2	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00135	sex2	1950	NL-967	regN3d	SD	SD	SD	SD	NL-963	regN3d	NL-967	regN3d	size4	hbo	edu1	teacher secondary school	occ2	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00136	sex2	1945	NL-961	regN3d	SD	SD	SD	SD	NL-941	regN3c	NL-961	regN3d	size5	hbo	edu1	teacher secondary school	occ2	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00137	sex1	1945	NL-940	regN3c	SD	SD	SD	SD	NL-940	regN3c	NL-940	regN3c	size2	hbo	edu1	teacher secondary school	occ2	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00138	sex2	1948	NL-604	regN4b	SD	SD	SD	SD	NL-604	regN4b	NL-604	regN4b	size3	hbo	edu1	teacher secondary school	occ2	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00139	sex1	1960	NL-604	regN4b	SD	SD	SD	SD	NL-606	regN4b	NL-607	regN4b	size6	hbo	edu1	teacher secondary school	occ2	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00140	sex1	1970	NL-600	regN4b	SD	SD	SD	SD	NL-600	regN4b	NL-600	regN4b	size3	hbo	edu1	teacher secondary school	occ2	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00141	sex2	1941	NL-626	regN4b	SD	SD	SD	SD	NL-604	regN4b	NL-637	regN4b	size3	hbo	edu1	teacher secondary school	occ2	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00142	sex1	1940	NL-637	regN4b	SD	SD	SD	SD	NL-623	regN4b	NL-630	regN4b	size5	hbo	edu1	teacher secondary school	occ2	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00143	sex2	1946	NL-610	regN4b	SD	SD	SD	SD	NL-615	regN4b	NL-610	regN4b	size6	hbo	edu1	teacher secondary school	occ2	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00144	sex1	1943	NL-616	regN4b	SD	SD	SD	SD	NL-616	regN4b	NL-616	regN4b	size3	hbo	edu1	teacher secondary school	occ2	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00145	sex1	1949	NL-530	regN2c	SD	SD	SD	SD	NL-400	regN2c	NL-530	regN2c	size4	hbo	edu1	teacher secondary school	occ2	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00146	sex1	1961	NL-671	regN2d	SD	SD	SD	SD	NL-671	regN2d	NL-671	regN2d	size2	hbo	edu1	teacher secondary school	occ2	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00147	sex1	1948	NL-644	regN4b	SD	SD	SD	SD	NL-644	regN4b	NL-644	regN4b	size3	universiteit	edu1	teacher secondary school	occ2	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00148	sex1	1951	NL-610	regN4b	SD	SD	SD	SD	NL-610	regN4b	NL-610	regN4b	size6	universiteit	edu1	teacher secondary school	occ2	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00149	sex1	1942	NL-604	regN4b	SD	SD	SD	SD	NL-611	regN4b	NL-604	regN4b	size3	universiteit	edu1	teacher secondary school	occ2	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00150	sex2	1952	NL-377	regN2d	SD	SD	SD	SD	NL-674	regN2d	NL-378	regN2d	size6	universiteit	edu1	teacher secondary school	occ2	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00151	sex1	1949	NL-25-	regN1a	SD	SD	SD	SD	NL-240	regN1a	NL-25-	regN1a	size1	universiteit	edu1	teacher secondary school	occ2	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00152	sex1	1941	NL-240	regN1a	SD	SD	SD	SD	NL-240	regN1a	NL-240	regN1a	size2	hbo	edu1	teacher secondary school	occ2	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00153	sex2	1960	NL-10-	regN1b	SD	SD	SD	SD	NL-240	regN1a	NL-10-	regN1b	size1	hbo	edu1	teacher secondary school	occ2	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00154	sex1	1946	NL-25-	regN1a	SD	SD	SD	SD	NL-240	regN1a	NL-213	regN1b	size2	universiteit	edu1	teacher secondary school	occ2	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00155	sex2	1953	NL-25-	regN1a	SD	SD	SD	SD	NL-240	regN1a	NL-25-	regN1a	size1	hbo	edu1	teacher secondary school	occ2	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00156	sex1	1953	NL-267	regN1a	SD	SD	SD	SD	NL-240	regN1a	NL-228	regN1a	size3	universiteit	edu1	teacher secondary school	occ2	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00157	sex2	1945	NL-241	regN1a	SD	SD	SD	SD	NL-242	regN1a	NL-241	regN1a	size4	universiteit	edu1	teacher secondary school	occ2	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00158	sex1	1959	xxx	regNx	SD	SD	SD	SD	NL-240	regN1a	NL-239	regN1a	size5	hbo	edu1	teacher secondary school	occ2	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00159	sex2	1974	NL-240	regN1a	SD	SD	SD	SD	NL-23-	regN1a	NL-240	regN1a	size2	universiteit	edu1	teacher secondary school	occ2	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00160	sex2	1973	NL-26-	regN1a	SD	SD	SD	SD	NL-23-	regN1a	NL-264	regN1a	size4	universiteit	edu1	teacher secondary school	occ2	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00161	sex2	1972	NL-242	regN1a	SD	SD	SD	SD	NL-240	regN1a	NL-242	regN1a	size5	universiteit	edu1	teacher secondary school	occ2	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00162	sex1	1946	NL-223	regN1a	SD	SD	SD	SD	NL-274	regN1a	NL-223	regN1a	size6	hbo	edu1	teacher secondary school	occ2	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00163	sex2	1966	NL-23-	regN1a	SD	SD	SD	SD	NL-240	regN1a	NL-240	regN1a	size2	hbo	edu1	teacher secondary school	occ2	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00164	sex2	1949	NL-30-	regN1a	SD	SD	SD	SD	NL-280	regN1a	NL-30-	regN1a	size1	hbo	edu1	teacher secondary school	occ2	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00165	sex2	1943	NL-10-	regN1b	SD	SD	SD	SD	NL-280	regN1a	NL-25-	regN1a	size1	hbo	edu1	teacher secondary school	occ2	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00166	sex2	1959	NL-25-	regN1a	SD	SD	SD	SD	NL-390	regN2b	NL-671	regN2d	size2	hbo	edu1	teacher secondary school	occ2	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00167	sex1	1950	NL-674	regN2d	SD	SD	SD	SD	NL-390	regN2b	NL-674	regN2d	size6	universiteit	edu1	teacher secondary school	occ2	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00168	sex1	1939	NL-295	regN1a	SD	SD	SD	SD	NL-370	regN2b	NL-287	regN1a	size4	mbo	edu2	Member of Parliament	occ2	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00169	sex1	1944	NL-225	regN1a	SD	SD	SD	SD	NL-30-	regN1a	NL-23-	regN1a	size1	universiteit	edu1	minister	occ1	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00170	sex2	1943	NL-839	regN3e	SD	SD	SD	SD	NL-25-	regN1a	NL-844	regN3e	size3	mbo	edu2	Member of Parliament	occ2	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00171	sex1	1948	NL-25-	regN1a	SD	SD	SD	SD	NL-234	regN1a	NL-23-	regN1a	size1	universiteit	edu1	Member of Parliament	occ2	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00172	sex2	1966	NL-20-	regN1b	SD	SD	SD	SD	NL-10-	regN1b	NL-75-	regN3b	size1	universiteit	edu1	Member of Parliament	occ2	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00173	sex2	1939	NL-30-	regN1a	SD	SD	SD	SD	NL-975	regN3d	NL-20-	regN1b	size1	universiteit	edu1	Member of Parliament	occ2	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00174	sex1	1953	NL-534	regN4a	SD	SD	SD	SD	NL-25-	regN1a	NL-25-	regN1a	size1	universiteit	edu1	Member of Parliament	occ2	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00175	sex1	1945	NL-476	regN4a	SD	SD	SD	SD	NL-64-	regN4b	NL-470	regN4a	size2	universiteit	edu1	Member of Parliament	occ2	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00176	sex1	1968	NL-313	regN1a	SD	SD	SD	SD	NL-273	regN1a	NL-38-	regN2b	size1	universiteit	edu1	Member of Parliament	occ2	none
PARTICIPANT	CLS-KUN	HEADER.version1.0	1/01/2004	N00177	sex1	1946	NL-25-	regN1a	SD	SD	SD	SD	NL-30-	regN1a	NL-224	regN1a	size3	universiteit	edu1	vice chairman of parliament	occ1	none
